task,prompt,t5 output,output tokens,gpt likelihood
brainstorming_42,Input: How can I make my work area more organized? Output:,How can I make my work area more organized?,10,-5.24163292947
brainstorming_77,Input: What are some ideas for a company picnic? Output:,What are some ideas for a company picnic?,9,-11.053767508904
brainstorming_70,Input: What are some fun ideas for a birthday party? Output:,What are some fun ideas for a birthday party?,10,-7.083065005716
brainstorming_68,Input: What are some fun and unique ways to exercise? Output:,What are some fun ways to exercise?,8,-19.828189250599998
brainstorming_101,Input: What are some things I'm grateful for? Output:,What are some things I'm grateful for?,9,-4.226103394564001
brainstorming_39,Input: How can I make my neighbourhood more friendly and welcoming? Output:,How can I make my neighbourhood more welcoming?,9,-11.120680105269999
brainstorming_121,Input: Write down a list of goals you want to achieve in the next five years. Output:,Write down a list of goals you want to achieve in the next five years.,16,-6.443575199153999
brainstorming_3,Input: A list of things to do on a weekend. Output:,A list of things to do on a weekend.,10,-2.34393420701
brainstorming_72,Input: What are some fun weekend activities for families? Output:,What are some fun weekend activities for families?,9,-8.17914801209
brainstorming_61,Input: What are some creative ways to use this leftover chicken? Output:,What are some creative ways to use this leftover chicken?,11,-8.298680538361998
brainstorming_1,Input: A list of restaurants to try in your city. Output:,A list of restaurants to try in your city.,10,-3.2444209421299997
brainstorming_28,Input: How can I improve my sales skills? Output:,How can I improve my sales skills?,8,-6.937631870400001
brainstorming_106,Input: What are some tips for living a healthier lifestyle? Output:,What are some tips for living a healthier lifestyle?,10,-10.930718866773997
brainstorming_80,Input: What are some ideas for a new business? Output:,What are some ideas for a new business?,9,-7.33406322218
brainstorming_97,Input: What are some things I can do to be healthier? Output:,What are some things I can do to be healthier?,11,-7.6596862656999996
brainstorming_69,Input: What are some fun and unique ways to save money? Output:,What are some ways to save money?,8,-19.304240046300002
brainstorming_66,Input: What are some fun activities to do with kids? Output:,What are some fun activities to do with kids?,10,-7.430605860149999
brainstorming_96,Input: What are some things I can do to be happier? Output:,What are some things I can do to be happier?,11,-7.208869791080001
brainstorming_118,Input: What are some ways to reduce stress? Output:,What are some ways to reduce stress?,8,-8.415162529189999
brainstorming_114,Input: What are some ways to make money on the side? Output:,What are some ways to make money on the side?,11,-8.541032337835
brainstorming_12,Input: Generate ideas for a marketing campaign to promote a new product. Output:,Generate ideas for a marketing campaign to promote a new product.,13,-12.65877488973
brainstorming_99,Input: What are some things I want to accomplish in the next year? Output:,What are some things I want to do in the next year?,13,-8.64964910981
brainstorming_94,Input: What are some small businesses that I could start? Output:,What are some small businesses that I could start?,10,-4.696653052570001
brainstorming_51,Input: Ideas for a fun weekend activity. Output:,How to make a sand castle.,7,-22.595663105999996
brainstorming_20,Input: How can I be more productive? Output:,How can I be more productive?,7,-6.04416872147
chat_11,Input: Check in with a family member you don't get to see often. Output:,Check in with a friend you don't see often.,11,-21.638805320259998
chat_28,Input: Have a casual conversation with a coworker about something you're both interested in. Output:,Have a conversation with a coworker about something you're both interested in.,15,-12.6224203350864
chat_68,Input: Talk to a stranger in line at the grocery store. You notice that they found a new type of cereal. Output:,You are in a grocery store. You notice that a stranger is in line. You notice that they found a new type of cereal.,27,-62.251905063849996
chat_67,Input: Talk to a stranger in line at the grocery store. Output:,Talk to a stranger in line at the grocery store.,11,-7.595956851769
chat_66,Input: Talk to a friend or family member about something that's been bothering you. Output:,Talk to a friend or family member about something that's been bothering you.,15,-6.781350738009998
chat_79,Input: This is a conversation with an enlightened Buddha. Every response is full of wisdom and love. Output:,This is a conversation with an enlightened Buddha. Every response is full of wisdom and love.,18,-3.111788545718
chat_30,Input: Have a conversation with a coworker about a project you're both working on. Output:,Have a conversation with a coworker about a project you're both working on.,16,-6.812756980129998
chat_19,Input: Compliment a friend or family member on something you appreciate about them. Output:,Compliment a friend or family member on something they appreciate about them.,14,-17.533875082349997
chat_21,Input: Discuss weekend trip ideas with a group of work friends who are interested in outdoor activites. Output:,Find a place to stay in the area.,9,-24.5620095
chat_54,Input: Plan a weekend getaway with friends. Output:,Make a weekend getaway with friends.,8,-18.099809244588002
chat_18,Input: Compliment a coworker on their new haircut. Output:,Make a friend feel appreciated.,6,-39.8414188
chat_78,Input: This is a conversation with Steven. Steven likes to watch Netflix and hasn’t left his home in 2 weeks. Output:,This is a conversation with Steven. Steven likes to watch Netflix and hasn’t left his home in 2 weeks.,24,-4.499652806960321
chat_40,Input: Make plans with a friend or family member for a future event. Output:,Make plans with a friend or family member for a future event.,13,-8.04480853558
chat_10,Input: Check in with a family member to see how their day is going. Output:,Check in with a family member to see how their day is going.,14,-9.191706643209997
chat_37,"Input: In a one-on-one chat, catch up with a friend you haven't talked to in a while. Output:","In a group chat, catch up with a friend you haven't talked to in a while.",19,-28.391351696960992
chat_13,Input: Check in with a friend or family member you don't get to see often. Output:,Check in with a friend or family member you don't get to see often.,16,-7.393188487087
chat_9,Input: Catch up with an old friend you haven't talked to since you met in high school. Output:,Find a new friend.,5,-27.6922505
closedqa_23,"Input: Given the following list of items, choose the ones you would take on a tropical trip: Output:","You would take a scuba diving mask, snorkeling gear, and a snorkeling pole.",23,-69.14603549208701
closedqa_2,"Input: Given the following answer choices, choose the one which best describes what happens when you drop a heavy stone from a tree. Output:",The stone is thrown into the water.,8,-30.91810222542
closedqa_15,"Input: Given the following images, choose the one that best represents the feeling of the word ""home"". Output:",The following images show the feeling of home.,9,-16.1132032504
closedqa_20,"Input: Given the following list of ingredients, choose the ones you would need to make a cake. Output:",The following list of ingredients is for a cake.,10,-13.4944962427
closedqa_35,"Input: Given the following scenarios, choose the one you think is most likely to happen. Output:",The first scenario is more likely to happen.,9,-8.912864390230002
closedqa_6,"Input: Given the following choices, which would you rather have. Output:",The tiger or the lion.,6,-31.382471987000002
closedqa_1,"Input: Given the following answer choices to a reading comprehension question, choose the one which best answers the question. Output:",The first answer is correct.,6,-12.836107482
closedqa_11,"Input: Given the following facts about hydrogren and oxygen, tell me how each element is different. Output:",Hydrogen is a gas. It is a liquid. It is a gas.,16,-40.976583592
